call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;33;1;6;6
2;normal;29;1;6;6
3;normal;6;1;6;6
4;normal;4;1;4;4
5;normal;1;1;4;4
6;normal;2;1;4;4
7;normal;83;1;6;16
8;normal;32;1;6;16
9;normal;26;1;6;16
10;normal;25;1;4;16
11;normal;55;1;4;16
12;normal;12;1;4;16
call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;27;1;6;6
2;normal;43;1;6;6
3;normal;7;1;6;6
4;normal;4;1;4;4
5;normal;1;1;4;4
6;normal;2;1;4;4
7;normal;73;1;6;16
8;normal;31;1;6;16
9;normal;23;1;6;16
10;normal;22;1;4;16
11;normal;47;1;4;16
12;normal;10;1;4;16
