call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;35;1;6;6
2;normal;28;1;6;6
3;normal;11;1;6;6
4;normal;6;1;4;4
5;normal;3;1;4;4
6;normal;3;1;4;4
7;normal;91;1;6;16
8;normal;40;1;6;16
9;normal;29;1;6;16
10;normal;29;1;4;16
11;normal;56;1;4;16
12;normal;14;1;4;16
13;Warm_Start;43;1;6;14
14;Warm_Start;36;1;6;14
15;Warm_Start;12;1;6;14
16;Warm_Start;6;1;4;14
17;Warm_Start;8;1;4;14
18;Warm_Start;1;0;4;14
19;Warm_Start;38;1;6;13
20;Warm_Start;14;1;6;13
21;Warm_Start;7;1;6;13
22;Warm_Start;6;1;4;13
23;Warm_Start;8;1;4;13
24;Warm_Start;1;0;4;13
25;Warm_Start;28;1;6;12
26;Warm_Start;19;1;6;12
27;Warm_Start;10;1;6;12
28;Warm_Start;5;1;4;12
29;Warm_Start;6;1;4;12
30;Warm_Start;0;0;4;12
31;Warm_Start;35;1;6;11
32;Warm_Start;33;1;6;11
33;Warm_Start;7;1;6;11
34;Warm_Start;5;1;4;11
35;Warm_Start;6;1;4;11
36;Warm_Start;0;0;4;11
37;Warm_Start;7;1;6;10
38;Warm_Start;39;1;6;10
39;Warm_Start;6;1;6;10
40;Warm_Start;4;1;4;10
41;Warm_Start;4;1;4;10
42;Warm_Start;0;0;4;10
43;Warm_Start;5;1;6;9
44;Warm_Start;31;1;6;9
45;Warm_Start;5;1;6;9
46;Warm_Start;5;1;4;9
47;Warm_Start;4;1;4;9
48;Warm_Start;0;0;4;9
49;Warm_Start;5;1;6;8
50;Warm_Start;30;1;6;8
51;Warm_Start;4;1;6;8
52;Warm_Start;4;1;4;8
53;Warm_Start;3;1;4;8
54;Warm_Start;0;0;4;8
55;Warm_Start;4;1;6;7
56;Warm_Start;7;1;6;7
57;Warm_Start;3;1;6;7
58;Warm_Start;3;1;4;7
59;Warm_Start;4;1;4;7
60;Warm_Start;0;0;4;7
61;Warm_Start;4;1;6;6
62;Warm_Start;7;1;6;6
63;Warm_Start;3;1;6;6
64;Warm_Start;3;1;4;6
65;Warm_Start;2;1;4;6
66;Warm_Start;0;0;4;6
67;Warm_Start;3;1;6;5
68;Warm_Start;5;1;6;5
69;Warm_Start;3;1;4;5
70;Warm_Start;3;1;6;5
71;Warm_Start;0;0;4;5
72;Warm_Start;2;1;6;4
73;Warm_Start;10;1;6;4
74;Warm_Start;1;1;4;4
75;Warm_Start;2;1;6;4
76;Warm_Start;0;0;4;4
77;Warm_Start;5;1;6;5
78;Warm_Start;7;1;6;5
79;Warm_Start;2;1;4;5
80;Warm_Start;2;1;6;5
81;Warm_Start;2;1;4;5
82;Warm_Start;0;0;4;5
83;Warm_Start;4;1;6;4
84;Warm_Start;8;1;6;4
85;Warm_Start;2;1;4;4
86;Warm_Start;2;1;6;4
87;Warm_Start;0;0;4;4
88;Warm_Start;3;1;6;4
89;Warm_Start;6;1;6;4
90;Warm_Start;1;1;4;4
91;Warm_Start;2;1;6;4
92;Warm_Start;0;0;4;4
93;Warm_Start;6;1;6;6
94;Warm_Start;8;1;6;6
95;Warm_Start;3;1;4;6
96;Warm_Start;0;0;6;6
97;Warm_Start;4;1;6;5
98;Warm_Start;5;1;6;5
99;Warm_Start;2;1;4;5
100;Warm_Start;0;0;6;5
101;Warm_Start;4;1;6;4
102;Warm_Start;5;1;6;4
103;Warm_Start;2;1;4;4
104;Warm_Start;0;0;6;4
105;Warm_Start;8;1;6;8
106;Warm_Start;21;1;6;8
107;Warm_Start;5;1;4;8
108;Warm_Start;4;1;6;8
109;Warm_Start;3;1;4;8
110;Warm_Start;0;0;4;8
111;Warm_Start;5;1;6;7
112;Warm_Start;9;1;6;7
113;Warm_Start;3;1;4;7
114;Warm_Start;5;1;6;7
115;Warm_Start;2;1;4;7
116;Warm_Start;0;0;4;7
117;Warm_Start;4;1;6;6
118;Warm_Start;24;1;6;6
119;Warm_Start;3;1;4;6
120;Warm_Start;4;1;6;6
121;Warm_Start;2;1;4;6
122;Warm_Start;0;0;4;6
123;Warm_Start;4;1;6;5
124;Warm_Start;4;1;6;5
125;Warm_Start;2;1;4;5
126;Warm_Start;2;1;6;5
127;Warm_Start;1;1;4;5
128;Warm_Start;0;0;4;5
129;Warm_Start;2;1;6;4
130;Warm_Start;3;1;6;4
131;Warm_Start;2;1;4;4
132;Warm_Start;2;1;6;4
133;Warm_Start;1;1;4;4
134;Warm_Start;0;0;4;4
135;Warm_Start;23;1;6;7
136;Warm_Start;20;1;6;7
137;Warm_Start;4;1;4;7
138;Warm_Start;8;1;6;7
139;Warm_Start;0;0;4;7
140;Warm_Start;5;1;6;6
141;Warm_Start;9;1;6;6
142;Warm_Start;3;1;4;6
143;Warm_Start;6;1;6;6
144;Warm_Start;0;0;4;6
145;Warm_Start;6;1;6;5
146;Warm_Start;7;1;6;5
147;Warm_Start;2;1;4;5
148;Warm_Start;2;1;6;5
149;Warm_Start;0;0;4;5
150;Warm_Start;3;1;6;4
151;Warm_Start;7;1;6;4
152;Warm_Start;1;1;4;4
153;Warm_Start;2;1;6;4
154;Warm_Start;0;0;4;4
155;Warm_Start;6;1;6;7
156;Warm_Start;7;1;6;7
157;Warm_Start;4;1;4;7
158;Warm_Start;4;1;6;7
159;Warm_Start;3;1;4;7
160;Warm_Start;0;0;4;7
161;Warm_Start;3;1;6;6
162;Warm_Start;5;1;6;6
163;Warm_Start;4;1;4;6
164;Warm_Start;3;1;6;6
165;Warm_Start;2;1;4;6
166;Warm_Start;0;0;4;6
167;Warm_Start;3;1;6;5
168;Warm_Start;6;1;6;5
169;Warm_Start;5;1;4;5
170;Warm_Start;3;1;6;5
171;Warm_Start;2;1;4;5
172;Warm_Start;0;0;4;5
173;Warm_Start;2;1;6;4
174;Warm_Start;4;1;6;4
175;Warm_Start;1;1;4;4
176;Warm_Start;2;1;6;4
177;Warm_Start;0;0;4;4
178;Warm_Start;3;1;6;4
179;Warm_Start;7;1;6;4
180;Warm_Start;2;1;6;4
181;Warm_Start;0;0;4;4
182;Warm_Start;3;1;6;3
183;Warm_Start;5;1;6;3
184;Warm_Start;1;1;6;3
185;Warm_Start;0;0;4;3
186;Warm_Start;1;1;4;3
187;Warm_Start;4;1;6;3
188;Warm_Start;0;0;8;3
189;Warm_Start;4;1;4;7
190;Warm_Start;10;1;6;7
191;Warm_Start;4;1;8;7
192;Warm_Start;3;1;4;7
193;Warm_Start;0;0;4;7
194;Warm_Start;4;1;4;6
195;Warm_Start;9;1;6;6
196;Warm_Start;4;1;8;6
197;Warm_Start;2;1;4;6
198;Warm_Start;0;0;4;6
199;Warm_Start;3;1;4;5
