call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;107;1;6;6
2;normal;56;1;6;6
3;normal;9;1;6;6
4;normal;6;1;4;4
5;normal;2;1;4;4
6;normal;3;1;4;4
7;normal;73;1;6;16
8;normal;50;1;6;16
9;normal;43;1;6;16
10;normal;39;1;4;16
11;normal;18;1;4;16
12;normal;39;1;4;16
13;Warm_Start;24;1;6;14
14;Warm_Start;18;1;6;14
15;Warm_Start;39;1;6;14
16;Warm_Start;7;1;4;14
17;Warm_Start;10;1;4;14
18;Warm_Start;40;1;4;14
19;Warm_Start;23;1;6;13
20;Warm_Start;57;1;6;13
21;Warm_Start;12;1;6;13
22;Warm_Start;7;1;4;13
23;Warm_Start;22;1;4;13
24;Warm_Start;12;1;4;13
25;Warm_Start;19;1;6;13
26;Warm_Start;41;1;6;13
27;Warm_Start;11;1;6;13
28;Warm_Start;6;1;4;13
29;Warm_Start;17;1;4;13
30;Warm_Start;11;1;4;13
31;Warm_Start;16;1;6;12
32;Warm_Start;40;1;6;12
33;Warm_Start;10;1;6;12
34;Warm_Start;6;1;4;12
35;Warm_Start;11;1;4;12
36;Warm_Start;11;1;4;12
37;Warm_Start;20;1;6;12
38;Warm_Start;22;1;8;12
39;Warm_Start;81;1;4;12
40;Warm_Start;5;1;4;12
41;Warm_Start;48;1;4;12
42;Warm_Start;16;1;4;12
43;Warm_Start;18;1;6;11
44;Warm_Start;35;1;8;11
45;Warm_Start;44;1;4;11
46;Warm_Start;5;1;4;11
47;Warm_Start;14;1;4;11
48;Warm_Start;9;1;4;11
49;Warm_Start;14;1;6;10
50;Warm_Start;35;1;8;10
51;Warm_Start;7;1;4;10
52;Warm_Start;4;1;4;10
53;Warm_Start;7;1;4;10
54;Warm_Start;6;1;4;10
55;Warm_Start;15;1;6;9
56;Warm_Start;48;1;8;9
57;Warm_Start;7;1;4;9
58;Warm_Start;5;1;4;9
59;Warm_Start;6;1;4;9
60;Warm_Start;6;1;4;9
61;Warm_Start;13;1;6;8
62;Warm_Start;33;1;6;8
63;Warm_Start;6;1;4;8
64;Warm_Start;8;1;4;8
65;Warm_Start;4;1;6;8
66;Warm_Start;4;1;4;8
67;Warm_Start;51;1;6;7
68;Warm_Start;6;1;6;7
69;Warm_Start;5;1;4;7
70;Warm_Start;4;1;4;7
71;Warm_Start;4;1;6;7
72;Warm_Start;2;1;4;7
73;Warm_Start;5;1;6;6
74;Warm_Start;4;1;6;6
75;Warm_Start;3;1;6;6
76;Warm_Start;2;1;4;6
77;Warm_Start;2;1;4;6
78;Warm_Start;2;1;4;6
79;Warm_Start;6;1;6;5
80;Warm_Start;6;1;6;5
81;Warm_Start;2;1;6;5
82;Warm_Start;2;1;4;5
83;Warm_Start;2;1;4;5
84;Warm_Start;2;1;4;5
85;Warm_Start;117;1;6;8
86;Warm_Start;9;1;6;8
87;Warm_Start;7;1;6;8
88;Warm_Start;5;1;4;8
89;Warm_Start;5;1;4;8
90;Warm_Start;3;1;4;8
91;Warm_Start;13;1;6;7
92;Warm_Start;7;1;6;7
93;Warm_Start;3;1;6;7
94;Warm_Start;5;1;4;7
95;Warm_Start;2;1;4;7
96;Warm_Start;3;1;4;7
97;Warm_Start;10;1;6;7
98;Warm_Start;7;1;6;7
99;Warm_Start;4;1;6;7
100;Warm_Start;3;1;4;7
101;Warm_Start;4;1;4;7
102;Warm_Start;4;1;4;7
103;Warm_Start;33;1;6;6
104;Warm_Start;5;1;6;6
105;Warm_Start;5;1;6;6
106;Warm_Start;2;1;4;6
107;Warm_Start;2;1;4;6
108;Warm_Start;2;1;4;6
109;Warm_Start;7;1;6;5
110;Warm_Start;5;1;6;5
111;Warm_Start;4;1;6;5
112;Warm_Start;1;1;4;5
113;Warm_Start;2;1;4;5
114;Warm_Start;1;1;4;5
115;Warm_Start;13;1;6;9
116;Warm_Start;38;1;6;9
117;Warm_Start;8;1;6;9
118;Warm_Start;2;1;4;9
119;Warm_Start;4;1;4;9
120;Warm_Start;4;1;4;9
121;Warm_Start;13;1;6;8
122;Warm_Start;9;1;6;8
123;Warm_Start;5;1;6;8
124;Warm_Start;2;1;4;8
125;Warm_Start;3;1;4;8
126;Warm_Start;4;1;4;8
127;Warm_Start;11;1;6;7
128;Warm_Start;28;1;6;7
129;Warm_Start;6;1;6;7
130;Warm_Start;3;1;4;7
131;Warm_Start;4;1;4;7
132;Warm_Start;3;1;4;7
133;Warm_Start;16;1;6;6
134;Warm_Start;4;1;6;6
135;Warm_Start;3;1;6;6
136;Warm_Start;1;1;4;6
137;Warm_Start;2;1;4;6
138;Warm_Start;2;1;4;6
139;Warm_Start;98;1;6;5
140;Warm_Start;4;1;6;5
141;Warm_Start;3;1;6;5
142;Warm_Start;1;1;4;5
143;Warm_Start;2;1;4;5
144;Warm_Start;2;1;4;5
145;Warm_Start;40;1;6;8
146;Warm_Start;7;1;4;8
147;Warm_Start;8;1;6;8
148;Warm_Start;2;1;4;8
149;Warm_Start;7;1;6;8
150;Warm_Start;3;1;4;8
151;Warm_Start;12;1;6;8
152;Warm_Start;9;1;6;8
153;Warm_Start;7;1;6;8
154;Warm_Start;2;1;4;8
155;Warm_Start;7;1;4;8
156;Warm_Start;3;1;4;8
157;Warm_Start;5;1;6;7
158;Warm_Start;4;1;6;7
159;Warm_Start;4;1;6;7
160;Warm_Start;1;1;4;7
161;Warm_Start;6;1;4;7
162;Warm_Start;2;1;4;7
163;Warm_Start;6;1;6;6
164;Warm_Start;3;1;6;6
165;Warm_Start;3;1;6;6
166;Warm_Start;1;1;4;6
167;Warm_Start;4;1;4;6
168;Warm_Start;2;1;4;6
169;Warm_Start;3;1;6;5
170;Warm_Start;3;1;6;5
171;Warm_Start;2;1;6;5
172;Warm_Start;1;1;4;5
173;Warm_Start;2;1;4;5
174;Warm_Start;1;1;4;5
175;Warm_Start;14;1;6;8
176;Warm_Start;36;1;8;8
177;Warm_Start;8;1;6;8
178;Warm_Start;3;1;4;8
179;Warm_Start;5;1;2;8
180;Warm_Start;6;1;4;8
181;Warm_Start;8;1;6;8
182;Warm_Start;45;1;8;8
183;Warm_Start;7;1;6;8
184;Warm_Start;2;1;4;8
185;Warm_Start;5;1;2;8
186;Warm_Start;5;1;4;8
187;Warm_Start;5;1;6;7
188;Warm_Start;27;1;8;7
189;Warm_Start;5;1;6;7
190;Warm_Start;2;1;4;7
191;Warm_Start;2;1;2;7
192;Warm_Start;3;1;4;7
193;Warm_Start;4;1;6;6
194;Warm_Start;28;1;8;6
195;Warm_Start;6;1;6;6
196;Warm_Start;2;1;4;6
197;Warm_Start;2;1;2;6
198;Warm_Start;2;1;4;6
199;Warm_Start;4;1;6;6
200;Warm_Start;32;1;8;6
201;Warm_Start;6;1;6;6
202;Warm_Start;2;1;4;6
203;Warm_Start;2;1;2;6
204;Warm_Start;2;1;4;6
205;Warm_Start;4;1;6;5
206;Warm_Start;28;1;8;5
207;Warm_Start;5;1;6;5
208;Warm_Start;2;1;4;5
209;Warm_Start;1;1;2;5
210;Warm_Start;2;1;4;5
211;Warm_Start;44;1;6;7
212;Warm_Start;35;1;6;7
213;Warm_Start;5;1;6;7
214;Warm_Start;3;1;4;7
215;Warm_Start;4;1;4;7
216;Warm_Start;3;1;4;7
217;Warm_Start;12;1;6;6
218;Warm_Start;4;1;6;6
219;Warm_Start;4;1;6;6
220;Warm_Start;2;1;4;6
221;Warm_Start;2;1;4;6
222;Warm_Start;2;1;4;6
223;Warm_Start;19;1;6;5
224;Warm_Start;4;1;6;5
225;Warm_Start;3;1;6;5
226;Warm_Start;1;1;4;5
227;Warm_Start;1;1;4;5
228;Warm_Start;1;1;4;5
229;Warm_Start;64;1;6;9
230;Warm_Start;40;1;6;9
231;Warm_Start;10;1;6;9
232;Warm_Start;3;1;4;9
233;Warm_Start;5;1;4;9
234;Warm_Start;6;1;4;9
235;Warm_Start;23;1;6;8
236;Warm_Start;13;1;6;8
237;Warm_Start;7;1;6;8
238;Warm_Start;2;1;4;8
239;Warm_Start;3;1;4;8
240;Warm_Start;4;1;4;8
241;Warm_Start;17;1;6;7
242;Warm_Start;7;1;6;7
243;Warm_Start;5;1;6;7
244;Warm_Start;2;1;4;7
245;Warm_Start;2;1;4;7
246;Warm_Start;4;1;4;7
247;Warm_Start;9;1;6;6
248;Warm_Start;8;1;6;6
249;Warm_Start;3;1;6;6
250;Warm_Start;2;1;4;6
251;Warm_Start;2;1;4;6
252;Warm_Start;2;1;4;6
253;Warm_Start;23;1;6;5
254;Warm_Start;3;1;6;5
255;Warm_Start;3;1;6;5
256;Warm_Start;1;1;4;5
257;Warm_Start;1;1;4;5
258;Warm_Start;2;1;4;5
259;Warm_Start;49;1;6;7
260;Warm_Start;6;1;6;7
261;Warm_Start;4;1;6;7
262;Warm_Start;2;1;4;7
263;Warm_Start;6;1;4;7
264;Warm_Start;2;1;4;7
265;Warm_Start;18;1;6;6
266;Warm_Start;4;1;6;6
267;Warm_Start;3;1;6;6
268;Warm_Start;1;1;4;6
269;Warm_Start;2;1;4;6
270;Warm_Start;2;1;4;6
271;Warm_Start;27;1;6;8
272;Warm_Start;14;1;6;8
273;Warm_Start;4;1;6;8
274;Warm_Start;2;1;4;8
275;Warm_Start;4;1;4;8
276;Warm_Start;3;1;4;8
277;Warm_Start;20;1;6;8
278;Warm_Start;13;1;6;8
279;Warm_Start;4;1;6;8
280;Warm_Start;2;1;4;8
281;Warm_Start;3;1;4;8
282;Warm_Start;3;1;4;8
283;Warm_Start;11;1;8;7
284;Warm_Start;10;1;6;7
285;Warm_Start;4;1;4;7
286;Warm_Start;2;1;4;7
287;Warm_Start;3;1;4;7
288;Warm_Start;3;1;4;7
289;Warm_Start;9;1;8;6
290;Warm_Start;10;1;6;6
291;Warm_Start;3;1;4;6
292;Warm_Start;2;1;4;6
293;Warm_Start;2;1;4;6
294;Warm_Start;2;1;4;6
295;Warm_Start;5;1;8;5
296;Warm_Start;4;1;6;5
297;Warm_Start;2;1;4;5
298;Warm_Start;1;1;4;5
299;Warm_Start;1;1;4;5
300;Warm_Start;1;1;4;5
301;Warm_Start;50;1;4;7
302;Warm_Start;5;1;6;7
303;Warm_Start;7;1;6;7
304;Warm_Start;2;1;4;7
305;Warm_Start;3;1;6;7
306;Warm_Start;3;1;4;7
307;Warm_Start;4;1;4;6
308;Warm_Start;4;1;6;6
309;Warm_Start;3;1;6;6
310;Warm_Start;2;1;4;6
311;Warm_Start;3;1;6;6
312;Warm_Start;2;1;4;6
313;Warm_Start;3;1;4;5
314;Warm_Start;4;1;6;5
315;Warm_Start;3;1;6;5
316;Warm_Start;1;1;4;5
317;Warm_Start;3;1;6;5
318;Warm_Start;2;1;4;5
319;Warm_Start;90;1;6;8
320;Warm_Start;12;1;6;8
321;Warm_Start;7;1;6;8
322;Warm_Start;2;1;4;8
323;Warm_Start;3;1;4;8
324;Warm_Start;3;1;4;8
325;Warm_Start;12;1;6;7
326;Warm_Start;29;1;6;7
327;Warm_Start;4;1;6;7
328;Warm_Start;2;1;4;7
329;Warm_Start;2;1;4;7
330;Warm_Start;3;1;4;7
331;Warm_Start;16;1;6;6
332;Warm_Start;6;1;6;6
333;Warm_Start;3;1;6;6
334;Warm_Start;2;1;4;6
335;Warm_Start;2;1;4;6
336;Warm_Start;2;1;4;6
337;Warm_Start;14;1;6;6
338;Warm_Start;7;1;6;6
339;Warm_Start;3;1;6;6
340;Warm_Start;2;1;4;6
341;Warm_Start;2;1;4;6
342;Warm_Start;2;1;4;6
343;Warm_Start;9;1;6;6
344;Warm_Start;6;1;6;6
345;Warm_Start;3;1;6;6
346;Warm_Start;2;1;4;6
347;Warm_Start;2;1;4;6
348;Warm_Start;2;1;4;6
349;Warm_Start;22;1;6;5
350;Warm_Start;4;1;6;5
351;Warm_Start;3;1;6;5
352;Warm_Start;1;1;4;5
353;Warm_Start;1;1;4;5
354;Warm_Start;2;1;4;5
355;Warm_Start;13;1;6;7
356;Warm_Start;7;1;6;7
357;Warm_Start;4;1;6;7
358;Warm_Start;2;1;4;7
359;Warm_Start;2;1;4;7
360;Warm_Start;4;1;4;7
361;Warm_Start;41;1;6;6
362;Warm_Start;5;1;6;6
363;Warm_Start;3;1;6;6
364;Warm_Start;2;1;4;6
365;Warm_Start;2;1;4;6
366;Warm_Start;2;1;4;6
367;Warm_Start;21;1;6;5
368;Warm_Start;4;1;6;5
369;Warm_Start;3;1;6;5
370;Warm_Start;1;1;4;5
371;Warm_Start;1;1;4;5
372;Warm_Start;2;1;4;5
373;Warm_Start;8;1;6;5
374;Warm_Start;16;1;8;5
375;Warm_Start;3;1;6;5
376;Warm_Start;1;1;4;5
377;Warm_Start;1;1;2;5
378;Warm_Start;2;1;4;5
379;Warm_Start;5;1;6;5
380;Warm_Start;9;1;6;5
381;Warm_Start;3;1;6;5
382;Warm_Start;1;1;4;5
383;Warm_Start;1;1;4;5
384;Warm_Start;2;1;4;5
385;Warm_Start;6;1;6;5
386;Warm_Start;7;1;6;5
387;Warm_Start;4;1;6;5
388;Warm_Start;2;1;4;5
389;Warm_Start;1;1;4;5
390;Warm_Start;2;1;4;5
391;Warm_Start;19;1;6;9
392;Warm_Start;13;1;6;9
393;Warm_Start;5;1;6;9
394;Warm_Start;2;1;4;9
395;Warm_Start;4;1;4;9
396;Warm_Start;3;1;4;9
397;Warm_Start;13;1;6;7
398;Warm_Start;10;1;6;7
399;Warm_Start;5;1;6;7
400;Warm_Start;2;1;4;7
401;Warm_Start;2;1;4;7
402;Warm_Start;3;1;4;7
403;Warm_Start;17;1;6;6
404;Warm_Start;7;1;6;6
405;Warm_Start;4;1;6;6
406;Warm_Start;2;1;4;6
407;Warm_Start;2;1;4;6
408;Warm_Start;2;1;4;6
409;Warm_Start;12;1;6;5
410;Warm_Start;4;1;6;5
411;Warm_Start;3;1;6;5
412;Warm_Start;2;1;4;5
413;Warm_Start;2;1;4;5
414;Warm_Start;2;1;4;5
415;Warm_Start;26;1;6;5
416;Warm_Start;4;1;6;5
417;Warm_Start;4;1;6;5
418;Warm_Start;1;1;4;5
419;Warm_Start;2;1;4;5
420;Warm_Start;2;1;4;5
421;Warm_Start;20;1;6;5
422;Warm_Start;5;1;4;5
423;Warm_Start;3;1;6;5
424;Warm_Start;2;1;4;5
425;Warm_Start;2;1;6;5
426;Warm_Start;2;1;4;5
427;Warm_Start;12;1;4;8
428;Warm_Start;14;1;6;8
429;Warm_Start;6;1;6;8
430;Warm_Start;3;1;4;8
431;Warm_Start;4;1;6;8
432;Warm_Start;3;1;4;8
433;Warm_Start;6;1;4;7
434;Warm_Start;10;1;6;7
435;Warm_Start;6;1;6;7
436;Warm_Start;3;1;4;7
437;Warm_Start;4;1;6;7
438;Warm_Start;3;1;4;7
439;Warm_Start;3;1;4;6
440;Warm_Start;6;1;6;6
441;Warm_Start;4;1;6;6
442;Warm_Start;2;1;4;6
443;Warm_Start;3;1;6;6
444;Warm_Start;2;1;4;6
445;Warm_Start;2;1;4;5
446;Warm_Start;5;1;6;5
447;Warm_Start;3;1;6;5
448;Warm_Start;1;1;4;5
449;Warm_Start;2;1;6;5
450;Warm_Start;2;1;4;5
451;Warm_Start;20;1;6;5
452;Warm_Start;3;1;6;5
453;Warm_Start;4;1;4;5
454;Warm_Start;1;1;4;5
455;Warm_Start;2;1;6;5
456;Warm_Start;2;1;4;5
457;Warm_Start;5;1;4;5
458;Warm_Start;4;1;6;5
459;Warm_Start;3;1;6;5
460;Warm_Start;1;1;4;5
461;Warm_Start;2;1;6;5
462;Warm_Start;2;1;4;5
463;Warm_Start;8;1;4;8
464;Warm_Start;8;1;6;8
465;Warm_Start;9;1;6;8
466;Warm_Start;2;1;4;8
467;Warm_Start;4;1;6;8
468;Warm_Start;3;1;4;8
469;Warm_Start;4;1;4;7
470;Warm_Start;9;1;6;7
