call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;42;1;6;6
2;normal;46;1;6;6
3;normal;6;1;6;6
4;normal;3;1;4;4
5;normal;2;1;4;4
6;normal;2;1;4;4
7;normal;119;1;6;16
8;normal;60;1;6;16
9;normal;36;1;6;16
10;normal;36;1;4;16
11;normal;77;1;4;16
12;normal;13;1;4;16
call_id;model_type;optimize_time;feasible;target_num;depot_num
1;normal;42;1;6;6
2;normal;82;1;6;6
3;normal;6;1;6;6
4;normal;4;1;4;4
5;normal;2;1;4;4
6;normal;2;1;4;4
7;normal;104;1;6;16
8;normal;47;1;6;16
9;normal;40;1;6;16
10;normal;43;1;4;16
11;normal;62;1;4;16
12;normal;16;1;4;16
